latitude,longitude
-13.133603,-57.998126
-13.133603,-57.995881
-13.133603,-57.993636
-13.133603,-57.991391
-13.131358,-58.000371
-13.131358,-57.998126
-13.131358,-57.995881
-13.131358,-57.993636
-13.131358,-57.991391
-13.129113,-58.002616
-13.129113,-58.000371
-13.129113,-57.998126
-13.129113,-57.995881
-13.129113,-57.982411
-13.129113,-57.980166
-13.126868,-58.002616
-13.126868,-58.000371
-13.126868,-57.998126
-13.126868,-57.995881
-13.126868,-57.980166
-13.126868,-57.977921
-13.126868,-57.975676
-13.126868,-57.973431
-13.124623,-58.002616
-13.124623,-58.000371
-13.124623,-57.998126
-13.124623,-57.975676
-13.124623,-57.973431
-13.124623,-57.971186
-13.122378,-57.989146
-13.122378,-57.986901
-13.122378,-57.962206
-13.120133,-57.989146
-13.120133,-57.986901
-13.120133,-57.984656
-13.117888,-57.977921
-13.117888,-57.975676
-13.117888,-57.973431
-13.115643,-57.975676
-13.115643,-57.973431
-13.115643,-57.971186
-13.115643,-57.968941
-13.115643,-57.966696
-13.113398,-57.968941
-13.113398,-57.957716
-13.111153,-57.959961
-13.111153,-57.957716
-13.052783,-55.955176
-13.052783,-55.952931
-13.050538,-55.955176
-13.050538,-55.952931
-13.050538,-55.950686
-13.048293,-55.952931
-13.048293,-55.950686
-13.048293,-55.948441
-13.046048,-55.952931
-13.046048,-55.950686
-13.046048,-55.948441
-13.046048,-55.946196
-13.046048,-55.943951
-13.043803,-56.089876
-13.043803,-55.950686
-13.043803,-55.948441
-13.043803,-55.946196
-13.043803,-55.943951
-13.043803,-55.941706
-13.041558,-56.092121
-13.041558,-56.089876
-13.041558,-55.948441
-13.041558,-55.946196
-13.041558,-55.943951
-13.041558,-55.941706
-13.041558,-55.939461
-13.039313,-56.092121
-13.039313,-55.943951
-13.037068,-56.080896
-13.034823,-56.078651
-13.034823,-56.076406
-13.032578,-56.076406
-13.032578,-56.074161
-13.030333,-56.074161
-13.030333,-56.071916
-13.030333,-56.069671
-13.030333,-55.946196
-13.028088,-56.071916
-13.028088,-56.069671
-13.028088,-56.067426
-13.028088,-55.946196
-13.025843,-56.067426
-13.025843,-56.065181
-13.025843,-56.062936
-13.023598,-56.067426
-13.023598,-56.065181
-13.023598,-56.062936
-13.023598,-56.060691
-13.021353,-56.089876
-13.021353,-56.058446
-13.019108,-56.089876
-13.019108,-56.087631
-13.019108,-56.085386
-13.019108,-56.058446
-13.019108,-56.056201
-13.019108,-56.053956
-13.016863,-56.058446
-13.016863,-56.056201
-13.016863,-56.053956
-13.016863,-56.051711
-13.014618,-56.078651
-13.014618,-56.076406
-13.014618,-56.062936
-13.014618,-56.060691
-13.014618,-56.058446
-13.014618,-56.056201
-13.014618,-56.053956
-13.014618,-56.051711
-13.014618,-56.049466
-13.014618,-56.047221
-13.012373,-56.078651
-13.012373,-56.076406
-13.012373,-56.074161
-13.012373,-56.071916
-13.012373,-56.069671
-13.012373,-56.065181
-13.012373,-56.062936
-13.012373,-56.060691
-13.012373,-56.058446
-13.012373,-56.056201
-13.012373,-56.053956
-13.012373,-56.051711
-13.012373,-56.049466
-13.012373,-56.047221
-13.012373,-56.044976
-13.012373,-55.961911
-13.012373,-55.959666
-13.010128,-56.078651
-13.010128,-56.076406
-13.010128,-56.074161
-13.010128,-56.071916
-13.010128,-56.069671
-13.010128,-56.067426
-13.010128,-56.065181
-13.010128,-56.062936
-13.010128,-56.060691
-13.010128,-56.058446
-13.010128,-56.056201
-13.010128,-56.053956
-13.010128,-56.051711
-13.010128,-56.049466
-13.010128,-56.047221
-13.010128,-56.044976
-13.010128,-56.042731
-13.010128,-55.964156
-13.010128,-55.961911
-13.010128,-55.959666
-13.010128,-55.957421
-13.007883,-56.087631
-13.007883,-56.078651
-13.007883,-56.076406
-13.007883,-56.074161
-13.007883,-56.071916
-13.007883,-56.069671
-13.007883,-56.067426
-13.007883,-56.065181
-13.007883,-56.062936
-13.007883,-56.060691
-13.007883,-56.058446
-13.007883,-56.056201
-13.007883,-56.053956
-13.007883,-56.051711
-13.007883,-56.049466
-13.007883,-56.047221
-13.007883,-55.961911
-13.007883,-55.959666
-13.007883,-55.957421
-13.005638,-56.089876
-13.005638,-56.087631
-13.005638,-56.078651
-13.005638,-56.076406
-13.005638,-56.074161
-13.005638,-56.071916
-13.005638,-56.069671
-13.005638,-56.067426
-13.005638,-56.065181
-13.005638,-56.062936
-13.005638,-56.060691
-13.005638,-56.058446
-13.005638,-56.056201
-13.005638,-56.053956
-13.005638,-56.051711
-13.003393,-56.089876
-13.003393,-56.087631
-13.003393,-56.078651
-13.003393,-56.065181
-13.003393,-56.062936
-13.003393,-56.060691
-13.003393,-56.058446
-13.003393,-56.056201
-13.003393,-56.053956
-13.001148,-56.089876
-13.001148,-56.087631
-13.001148,-56.062936
-13.001148,-56.060691
-13.001148,-56.058446
-12.998903,-56.089876
-12.998903,-56.087631
-12.998903,-56.080896
-12.998903,-56.062936
-12.996658,-56.092121
-12.996658,-56.089876
-12.996658,-56.087631
-12.996658,-56.080896
-12.994413,-56.080896
-12.994413,-55.977626
-12.992168,-56.080896
-12.992168,-56.078651
-12.992168,-55.979871
-12.992168,-55.977626
-12.992168,-55.975381
-12.989923,-56.157226
-12.989923,-56.154981
-12.989923,-56.152736
-12.989923,-56.080896
-12.989923,-56.078651
-12.989923,-56.076406
-12.989923,-55.982116
-12.989923,-55.979871
-12.989923,-55.977626
-12.989923,-55.975381
-12.987678,-56.163961
-12.987678,-56.161716
-12.987678,-56.159471
-12.987678,-56.157226
-12.987678,-56.154981
-12.987678,-56.152736
-12.987678,-56.150491
-12.987678,-56.078651
-12.987678,-56.076406
-12.987678,-55.982116
-12.987678,-55.979871
-12.987678,-55.977626
-12.987678,-55.975381
