  Row   Col.  Seas.  Beg.    End.   Length   Base   Mid-x   Max.    Amp.    L-der.  R-der.  L-integ.  S-integ. 
   24     1     3   101.8   137.6    35.8  2068.0   118.9  9124.6  7056.5  1042.7   730.5  237595.9  159011.0 
   25     1     1    12.5    28.5    16.0  2076.7    26.0  9493.6  7417.0  1337.4  -574.9  118947.2   81567.5 
   25     1     2    55.0    95.6    40.6  1793.1    71.4  9601.3  7808.2  1390.5   609.7  262687.7  187375.9 
   25     1     3   103.2   136.8    33.6  2048.6   118.2  9519.0  7470.4  1475.1   958.6  223844.7  152144.8 
   26     1     1    12.7    42.8    30.1  2113.8    26.5  9393.4  7279.7  1124.0   874.7  201110.9  133470.7 
   26     1     2    55.1    95.8    40.7  1810.1    71.7  9474.2  7664.2  1205.4   573.4  255669.9  179646.5 
   26     1     3   103.9   136.9    33.0  2052.4   118.2  9568.1  7515.7  1531.5   936.8  224414.6  152579.2 
   27     1     1    12.8    43.2    30.4  2175.7    26.4  9526.8  7351.1  1110.7   964.3  203664.2  131867.7 
   27     1     2    55.5    95.3    39.8  1859.6    71.7  9472.2  7612.7  1421.9   643.2  250996.2  172894.2 
   27     1     3   104.1   137.0    32.9  2065.2   118.2  9479.4  7414.1  1616.4   945.5  222616.2  152397.9 
   28     1     1    13.0    43.2    30.1  2240.4    26.5  9771.8  7531.4  1185.3   957.1  204697.8  133003.7 
   28     1     2    55.7    95.1    39.4  1863.3    70.9  9630.2  7766.9  1489.3  -429.5  246823.7  168564.6 
   28     1     3   103.6   137.0    33.4  1969.3   118.1  9516.7  7547.4  1586.0   964.6  230721.5  159828.5 
   29     1     1     2.9    46.1    43.2  3230.0    26.9  6945.6  3715.6   123.1   216.5  249455.0  100875.6 
   29     1     2    51.0    92.8    41.8  3039.7    69.3  6536.2  3496.5   439.6   176.0  227007.0   93258.1 
   29     1     3   100.3   140.7    40.4  3135.8   124.3  6726.6  3590.8   166.2   471.6  235897.2  104193.5 
   30     1     1     3.4    46.0    42.7  3293.7    26.8  6796.0  3502.3   113.8   204.5  245329.6   97112.1 
   30     1     2    53.1    93.0    39.9  2962.1    70.0  6711.2  3749.1   443.0   196.0  217468.0   96022.7 
   30     1     3   100.4   140.8    40.4  3053.3   123.1  6829.1  3775.8   220.5   479.9  238168.9  109930.4 
   31     1     1     3.6    46.6    43.0  3334.0    26.1  6695.9  3361.9   112.6   184.0  244675.3   94647.0 
   31     1     2    53.8    92.5    38.7  2840.9    73.3  7153.8  4312.9   209.5   220.3  221464.2  104988.4 
   31     1     3   100.3   140.6    40.3  2981.1   114.0  7872.0  4890.9   323.8   128.7  246645.5  121441.2 
   32     1     1     3.2    46.9    43.8  3286.4    25.2  6790.3  3504.0   123.7   180.0  244796.3   96909.4 
   32     1     2    53.9    92.2    38.2  2771.5    73.5  7697.2  4925.7   231.5   278.5  228610.8  114979.2 
   32     1     3   100.5   141.3    40.9  2954.6   111.6  8541.4  5586.8   671.9   134.0  263366.4  136320.0 
   33     1     1     2.8    47.5    44.7  3265.4    24.6  7020.9  3755.5   160.5   217.6  258720.8  105247.5 
   33     1     2    53.2    91.3    38.1  2725.9    72.4  8063.7  5337.9   258.4   299.2  227885.6  118851.5 
   33     1     3   101.5   141.4    39.8  2867.4   111.9  8254.9  5387.5  1013.9   135.3  256466.0  136034.3 
   34     1     1     7.1    46.3    39.2  2221.6    25.4  8756.2  6534.6   886.8   618.0  228939.8  137852.9 
   34     1     2    54.2    90.6    36.4  2213.8    68.5  9453.8  7240.0   491.0   258.8  231288.7  147164.2 
   34     1     3   103.1   137.7    34.6  2081.2   118.4  9411.0  7329.9  1136.8   605.8  231225.2  156303.7 
